dive,time_UTC,dateTime_UTC,latitude,longitude,label
86,739526.759363426,01-Oct-2024 18:13:29,42.9754166666667,-125.0188,stop
87,739526.763831018,01-Oct-2024 18:19:55,42.9745166666667,-125.0192,start
87,739526.967824074,01-Oct-2024 23:13:40,42.9447833333333,-125.052733333333,stop
88,739526.972314815,01-Oct-2024 23:20:08,42.9437833333333,-125.05315,start
88,739527.180289352,02-Oct-2024 04:19:37,42.9158666666667,-125.0941,stop
89,739527.184803241,02-Oct-2024 04:26:07,42.9151166666667,-125.094716666667,start
89,739527.390439815,02-Oct-2024 09:22:14,42.89855,-125.141616666667,stop
90,739527.396296296,02-Oct-2024 09:30:40,42.8959166666667,-125.1421,start
90,739527.603298611,02-Oct-2024 14:28:45,42.8527,-125.170533333333,stop
91,739527.60787037,02-Oct-2024 14:35:20,42.8513166666667,-125.172716666667,start
91,739527.809803241,02-Oct-2024 19:26:07,42.8401666666667,-125.226233333333,stop
92,739527.814131944,02-Oct-2024 19:32:21,42.8392666666667,-125.22735,start
92,739528.025081019,03-Oct-2024 00:36:07,42.7979166666667,-125.2528,stop
93,739528.031053241,03-Oct-2024 00:44:43,42.7962166666667,-125.255083333333,start
93,739528.240694444,03-Oct-2024 05:46:36,42.7749166666667,-125.311783333333,stop
94,739528.245729167,03-Oct-2024 05:53:51,42.7734833333333,-125.31385,start
94,739528.456296296,03-Oct-2024 10:57:04,42.7463166666667,-125.364616666667,stop
95,739528.460833333,03-Oct-2024 11:03:36,42.7453833333333,-125.3667,start
95,739528.665347222,03-Oct-2024 15:58:06,42.7011166666667,-125.404083333333,stop
96,739528.669976852,03-Oct-2024 16:04:46,42.69965,-125.406516666667,start
96,739528.8771875,03-Oct-2024 21:03:09,42.6810833333333,-125.470733333333,stop
97,739528.881701389,03-Oct-2024 21:09:39,42.6794166666667,-125.47345,start
97,739529.086886574,04-Oct-2024 02:05:07,42.6307666666667,-125.465633333333,stop
98,739529.092569444,04-Oct-2024 02:13:18,42.63005,-125.46695,start
98,739529.302175926,04-Oct-2024 07:15:08,42.6191833333333,-125.538883333333,stop
99,739529.306701389,04-Oct-2024 07:21:39,42.6189,-125.540133333333,start
99,739529.516678241,04-Oct-2024 12:24:01,42.5774833333333,-125.565566666667,stop
100,739529.521215278,04-Oct-2024 12:30:33,42.5757,-125.565933333333,start
100,739529.723680556,04-Oct-2024 17:22:06,42.5523166666667,-125.618466666667,stop
101,739529.728090278,04-Oct-2024 17:28:27,42.5522,-125.617133333333,start
101,739529.934803241,04-Oct-2024 22:26:07,42.53225,-125.655783333333,stop
102,739529.943657407,04-Oct-2024 22:38:52,42.5323,-125.655883333333,start
102,739530.154953704,05-Oct-2024 03:43:08,42.4989,-125.684283333333,stop
103,739530.160775463,05-Oct-2024 03:51:31,42.4997166666667,-125.684183333333,start
103,739530.375787037,05-Oct-2024 09:01:08,42.4885833333333,-125.7351,stop
104,739530.380416667,05-Oct-2024 09:07:48,42.4886666666667,-125.736933333333,start
104,739530.582465278,05-Oct-2024 13:58:45,42.4620833333333,-125.77295,stop
105,739530.586782407,05-Oct-2024 14:04:58,42.46215,-125.774933333333,start
105,739530.793055556,05-Oct-2024 19:02:00,42.4411,-125.812633333333,stop
106,739530.797384259,05-Oct-2024 19:08:14,42.44095,-125.814533333333,start
106,739530.994930556,05-Oct-2024 23:52:42,42.4136166666667,-125.836166666667,stop
107,739530.999340278,05-Oct-2024 23:59:03,42.41325,-125.836683333333,start
107,739531.207662037,06-Oct-2024 04:59:02,42.3813,-125.877566666667,stop
108,739531.211921296,06-Oct-2024 05:05:10,42.3809666666667,-125.877383333333,start
108,739531.417106482,06-Oct-2024 10:00:38,42.3693833333333,-125.91115,stop
109,739531.421400463,06-Oct-2024 10:06:49,42.3695333333333,-125.909816666667,start
109,739531.632326389,06-Oct-2024 15:10:33,42.3366666666667,-125.929216666667,stop
110,739531.637905093,06-Oct-2024 15:18:35,42.338,-125.92895,start
110,739531.846481481,06-Oct-2024 20:18:56,42.3180166666667,-125.967616666667,stop
111,739531.851030093,06-Oct-2024 20:25:29,42.31785,-125.966916666667,start
111,739532.052766204,07-Oct-2024 01:15:59,42.2844166666667,-125.9893,stop
112,739532.057372685,07-Oct-2024 01:22:37,42.28565,-125.990833333333,start
112,739532.265,07-Oct-2024 06:21:36,42.2763833333333,-125.943083333333,stop
113,739532.26962963,07-Oct-2024 06:28:16,42.2762,-125.94345,start
113,739532.480659722,07-Oct-2024 11:32:09,42.2636,-125.8966,stop
114,739532.48619213,07-Oct-2024 11:40:07,42.2646333333333,-125.89765,start
114,739532.69625,07-Oct-2024 16:42:36,42.2509666666667,-125.863283333333,stop
115,739532.700833333,07-Oct-2024 16:49:12,42.2506,-125.863666666667,start
115,739532.915706019,07-Oct-2024 21:58:37,42.2492833333333,-125.82485,stop
116,739532.92025463,07-Oct-2024 22:05:10,42.2488833333333,-125.826766666667,start
116,739533.122349537,08-Oct-2024 02:56:11,42.2310666666667,-125.790983333333,stop
117,739533.126805556,08-Oct-2024 03:02:36,42.2313666666667,-125.791033333333,start
117,739533.324409722,08-Oct-2024 07:47:09,42.2129333333333,-125.764166666667,stop
118,739533.330428241,08-Oct-2024 07:55:49,42.2138833333333,-125.76565,start
118,739533.528194444,08-Oct-2024 12:40:36,42.2038333333333,-125.731683333333,stop
119,739533.532407407,08-Oct-2024 12:46:40,42.2049666666667,-125.73215,start
119,739533.738298611,08-Oct-2024 17:43:09,42.19055,-125.711133333333,stop
120,739533.793009259,08-Oct-2024 19:01:56,42.2025166666667,-125.728483333333,start
120,739533.812858796,08-Oct-2024 19:30:31,42.20485,-125.73,stop
121,739533.823032407,08-Oct-2024 19:45:10,42.2074333333333,-125.732116666667,start
121,739534.021122685,09-Oct-2024 00:30:25,42.2092666666667,-125.691966666667,stop
122,739534.025844907,09-Oct-2024 00:37:13,42.2116166666667,-125.693166666667,start
122,739534.226365741,09-Oct-2024 05:25:58,42.1991833333333,-125.666533333333,stop
123,739534.231678241,09-Oct-2024 05:33:37,42.2016333333333,-125.668616666667,start
123,739534.418136574,09-Oct-2024 10:02:07,42.1933333333333,-125.636583333333,stop
124,739534.422476852,09-Oct-2024 10:08:22,42.1955,-125.6382,start
124,739534.616423611,09-Oct-2024 14:47:39,42.1913833333333,-125.6129,stop
125,739534.620983796,09-Oct-2024 14:54:13,42.1939,-125.614833333333,start
125,739534.818506944,09-Oct-2024 19:38:39,42.1884333333333,-125.59865,stop
126,739534.825520833,09-Oct-2024 19:48:45,42.19245,-125.600616666667,start
126,739535.026458333,10-Oct-2024 00:38:06,42.1865333333333,-125.580283333333,stop
127,739535.0325,10-Oct-2024 00:46:48,42.1894833333333,-125.5818,start
127,739535.231030093,10-Oct-2024 05:32:41,42.1714,-125.569066666667,stop
128,739535.235405093,10-Oct-2024 05:38:59,42.1731,-125.571283333333,start
128,739535.430775463,10-Oct-2024 10:20:19,42.1687833333333,-125.54435,stop
