dive,time_UTC,dateTime_UTC,latitude,longitude,label
106,739507.45494213,12-Sep-2024 10:55:07,43.6079833333333,-126.812783333333,start
106,739507.905231482,12-Sep-2024 21:43:32,43.5798333333333,-126.70445,stop
107,739507.905231482,12-Sep-2024 21:43:32,43.5798333333333,-126.70445,start
107,739508.121921296,13-Sep-2024 02:55:34,43.5592833333333,-126.668933333333,stop
108,739508.121921296,13-Sep-2024 02:55:34,43.5592833333333,-126.668933333333,start
108,739508.359988426,13-Sep-2024 08:38:23,43.5409833333333,-126.61645,stop
109,739508.359988426,13-Sep-2024 08:38:23,43.5409833333333,-126.61645,start
109,739508.359988426,13-Sep-2024 08:38:23,43.5409833333333,-126.61645,stop
110,739508.359988426,13-Sep-2024 08:38:23,43.5409833333333,-126.61645,start
110,739508.832627315,13-Sep-2024 19:58:59,43.51235,-126.533166666667,stop
111,739508.832627315,13-Sep-2024 19:58:59,43.51235,-126.533166666667,start
111,739509.064930556,14-Sep-2024 01:33:30,43.5088833333333,-126.484483333333,stop
112,739509.064930556,14-Sep-2024 01:33:30,43.5088833333333,-126.484483333333,start
112,739509.064930556,14-Sep-2024 01:33:30,43.5088833333333,-126.484483333333,stop
113,739509.300983796,14-Sep-2024 07:13:25,43.5003,-126.43845,start
113,739509.535810185,14-Sep-2024 12:51:34,43.4770166666667,-126.416433333333,stop
114,739509.535810185,14-Sep-2024 12:51:34,43.4770166666667,-126.416433333333,start
114,739509.781354167,14-Sep-2024 18:45:09,43.4740666666667,-126.371,stop
115,739509.781354167,14-Sep-2024 18:45:09,43.4740666666667,-126.371,start
115,739510.02556713,15-Sep-2024 00:36:49,43.4578833333333,-126.334516666667,stop
116,739510.02556713,15-Sep-2024 00:36:49,43.4578833333333,-126.334516666667,start
116,739510.02556713,15-Sep-2024 00:36:49,43.4578833333333,-126.334516666667,stop
117,739510.02556713,15-Sep-2024 00:36:49,43.4578833333333,-126.334516666667,start
117,739510.512222222,15-Sep-2024 12:17:36,43.4452833333333,-126.2797,stop
118,739510.512222222,15-Sep-2024 12:17:36,43.4452833333333,-126.2797,start
118,739510.72994213,15-Sep-2024 17:31:07,43.43855,-126.24815,stop
119,739510.72994213,15-Sep-2024 17:31:07,43.43855,-126.24815,start
119,739510.72994213,15-Sep-2024 17:31:07,43.43855,-126.24815,stop
120,739510.72994213,15-Sep-2024 17:31:07,43.43855,-126.24815,start
120,739511.182627315,16-Sep-2024 04:22:59,43.3968166666667,-126.34715,stop
121,739511.182627315,16-Sep-2024 04:22:59,43.3968166666667,-126.34715,start
121,739511.182627315,16-Sep-2024 04:22:59,43.3968166666667,-126.34715,stop
122,739511.182627315,16-Sep-2024 04:22:59,43.3968166666667,-126.34715,start
123,739511.835127315,16-Sep-2024 20:02:35,43.3313166666667,-126.458733333333,stop
124,739511.859398148,16-Sep-2024 20:37:32,43.3274833333333,-126.46135,start
124,739512.0871875,17-Sep-2024 02:05:33,43.3147333333333,-126.428783333333,stop
125,739512.0871875,17-Sep-2024 02:05:33,43.3147333333333,-126.428783333333,start
125,739512.311180556,17-Sep-2024 07:28:06,43.2877,-126.472,stop
126,739512.316747685,17-Sep-2024 07:36:07,43.2875333333333,-126.471916666667,start
126,739512.537893519,17-Sep-2024 12:54:34,43.2447833333333,-126.50815,stop
127,739512.542430556,17-Sep-2024 13:01:06,43.2436666666667,-126.5079,start
127,739512.765219907,17-Sep-2024 18:21:55,43.2062166666667,-126.538916666667,stop
128,739512.769733796,17-Sep-2024 18:28:25,43.20555,-126.53855,start
128,739512.993125,17-Sep-2024 23:50:06,43.174,-126.5826,stop
129,739512.997407407,17-Sep-2024 23:56:16,43.1727333333333,-126.5816,start
129,739513.219502315,18-Sep-2024 05:16:05,43.1968166666667,-126.53615,stop
130,739513.223969907,18-Sep-2024 05:22:31,43.1965833333333,-126.5357,start
130,739513.444189815,18-Sep-2024 10:39:38,43.2339833333333,-126.5155,stop
131,739513.4484375,18-Sep-2024 10:45:45,43.2327666666667,-126.515783333333,start
131,739513.674918982,18-Sep-2024 16:11:53,43.2511833333333,-126.478816666667,stop
132,739513.679305556,18-Sep-2024 16:18:12,43.2513166666667,-126.479516666667,start
132,739513.902847222,18-Sep-2024 21:40:06,43.2919833333333,-126.450083333333,stop
133,739513.9075,18-Sep-2024 21:46:48,43.2914166666667,-126.44905,start
133,739514.13025463,19-Sep-2024 03:07:34,43.2520333333333,-126.488933333333,stop
134,739514.134456019,19-Sep-2024 03:13:37,43.2508166666667,-126.489483333333,start
134,739514.359016204,19-Sep-2024 08:36:59,43.2371833333333,-126.54685,stop
135,739514.363206018,19-Sep-2024 08:43:01,43.2370666666667,-126.5475,start
135,739514.587511574,19-Sep-2024 14:06:01,43.1975166666667,-126.586266666667,stop
136,739514.591539352,19-Sep-2024 14:11:49,43.1963333333333,-126.586,start
136,739514.817719907,19-Sep-2024 19:37:31,43.1755,-126.639933333333,stop
137,739514.821539352,19-Sep-2024 19:43:01,43.1736666666667,-126.6393,start
137,739515.039328704,20-Sep-2024 00:56:38,43.1472166666667,-126.685633333333,stop
138,739515.045219907,20-Sep-2024 01:05:07,43.1453833333333,-126.687483333333,start
138,739515.264641204,20-Sep-2024 06:21:05,43.1150333333333,-126.7375,stop
139,739515.268796296,20-Sep-2024 06:27:04,43.1133666666667,-126.7367,start
139,739515.487233796,20-Sep-2024 11:41:37,43.10775,-126.7851,stop
140,739515.491412037,20-Sep-2024 11:47:38,43.1063166666667,-126.785033333333,start
140,739515.714525463,20-Sep-2024 17:08:55,43.0711833333333,-126.82115,stop
141,739515.719212963,20-Sep-2024 17:15:40,43.06935,-126.822183333333,start
141,739515.939456019,20-Sep-2024 22:32:49,43.06335,-126.868083333333,stop
142,739515.943726852,20-Sep-2024 22:38:58,43.0629,-126.868366666667,start
142,739516.168333333,21-Sep-2024 04:02:24,43.0161,-126.905283333333,stop
143,739516.173078704,21-Sep-2024 04:09:14,43.0146666666667,-126.905233333333,start
143,739516.391712963,21-Sep-2024 09:24:04,43.0047333333333,-126.955733333333,stop
144,739516.396238426,21-Sep-2024 09:30:35,43.0040166666667,-126.9566,start
144,739516.621747685,21-Sep-2024 14:55:19,42.9825333333333,-126.9951,stop
145,739516.62630787,21-Sep-2024 15:01:53,42.982,-126.995383333333,start
145,739516.851041667,21-Sep-2024 20:25:30,42.9616333333333,-127.042583333333,stop
146,739516.855729167,21-Sep-2024 20:32:15,42.9617333333333,-127.043016666667,start
146,739517.076446759,22-Sep-2024 01:50:05,42.9878333333333,-126.997333333333,stop
147,739517.081041667,22-Sep-2024 01:56:42,42.9865666666667,-126.997083333333,start
147,739517.304155093,22-Sep-2024 07:17:59,43.00085,-126.948733333333,stop
148,739517.304155093,22-Sep-2024 07:17:59,43.00085,-126.948733333333,start
148,739517.524201389,22-Sep-2024 12:34:51,43.0303666666667,-126.907083333333,stop
149,739517.528715278,22-Sep-2024 12:41:21,43.0292833333333,-126.90715,start
149,739517.747986111,22-Sep-2024 17:57:06,43.004,-126.961916666667,stop
150,739517.747986111,22-Sep-2024 17:57:06,43.004,-126.961916666667,start
150,739517.968460648,22-Sep-2024 23:14:35,42.9845166666667,-127.008716666667,stop
